																																k = 1					K = 2					k = 3					K = 4					K = 5		
No. Caso	INSTANCIA DE DATOS								REGISTRO A CLASIFICAR								Caso #							Distancia				Caso #	Distancia			Caso #	Distancia				Caso #	Distancia				Caso #	Distancia				Caso #	Distancia				Caso #	Distancia	
1	80	90	75	70	85	90	Guerrero		42	3	30	76	3	83	Duelista		1	1444	7569	2025	36	6724	49	133.59				15	40.02			15	40.02	DUELISTA			15	40.02	DUELISTA			15	40.02	DUELISTA			15	40.02	DUELISTA			15	40.02	DUELISTA
2	75	59	73	90	79	90	Duelista										2	1089	3136	1849	196	5776	49	109.98				10	50.64			10	50.64				10	50.64	DUELISTA			10	50.64	DUELISTA			10	50.64	DUELISTA			10	50.64	DUELISTA
3	52	93	90	26	42	3	Mago										3	100	8100	3600	2500	1521	6400	149.07				19	65.80			19	65.80				19	65.80				19	65.80	DUELISTA			19	65.80	DUELISTA			19	65.80	DUELISTA
4	73	55	13	1	78	46	Guerrero										4	961	2704	289	5625	5625	1369	128.74				20	71.27			20	71.27				20	71.27				20	71.27				20	71.27	DUELISTA			20	71.27	DUELISTA
5	56	90	81	22	60	49	Mago										5	196	7569	2601	2916	3249	1156	132.99				6	107.81			6	107.81				6	107.81				6	107.81				6	107.81				6	107.81	GUERRERO
6	99	21	4	90	87	94	Guerrero										6	3249	324	676	196	7056	121	107.81				2	109.98			2	109.98				2	109.98				2	109.98				2	109.98				2	109.98	
7	84	63	18	12	79	35	Guerrero										7	1764	3600	144	4096	5776	2304	132.98				18	111.83			18	111.83				18	111.83				18	111.83				18	111.83				18	111.83	
8	77	75	93	67	30	14	Mago										8	1225	5184	3969	81	729	4761	126.29				11	122.55			11	122.55				11	122.55				11	122.55				11	122.55				11	122.55	
9	63	96	92	28	11	46	Mago										9	441	8649	3844	2304	64	1369	129.12				13	123.31			13	123.31				13	123.31				13	123.31				13	123.31				13	123.31	
10	11	0	20	89	37	96	Duelista										10	961	9	100	169	1156	169	50.64				8	126.29			8	126.29				8	126.29				8	126.29				8	126.29				8	126.29	
11	82	9	57	3	88	73	Guerrero										11	1600	36	729	5329	7225	100	122.55				4	128.74			4	128.74				4	128.74				4	128.74				4	128.74				4	128.74	
12	21	88	92	28	56	22	Mago										12	441	7225	3844	2304	2809	3721	142.63				9	129.12			9	129.12				9	129.12				9	129.12				9	129.12				9	129.12	
13	30	93	99	40	33	85	Mago										13	144	8100	4761	1296	900	4	123.31				21	129.47			21	129.47				21	129.47				21	129.47				21	129.47				21	129.47	
14	89	85	32	1	96	71	Guerrero										14	2209	6724	4	5625	8649	144	152.82				16	130.76			16	130.76				16	130.76				16	130.76				16	130.76				16	130.76	
15	15	15	15	94	15	89	Duelista										15	729	144	225	324	144	36	40.02				7	132.98			7	132.98				7	132.98				7	132.98				7	132.98				7	132.98	
16	97	4	80	9	82	54	Guerrero										16	3025	1	2500	4489	6241	841	130.76				5	132.99			5	132.99				5	132.99				5	132.99				5	132.99				5	132.99	
17	99	40	66	1	84	38	Guerrero										17	3249	1369	1296	5625	6561	2025	141.86				1	133.59			1	133.59				1	133.59				1	133.59				1	133.59				1	133.59	
18	23	85	84	66	1	34	Mago										18	361	6724	2916	100	4	2401	111.83				17	141.86			17	141.86				17	141.86				17	141.86				17	141.86				17	141.86	
19	19	50	28	89	40	90	Duelista										19	529	2209	4	169	1369	49	65.80				12	142.63			12	142.63				12	142.63				12	142.63				12	142.63				12	142.63	
20	32	71	41	84	16	82	Duelista										20	100	4624	121	64	169	1	71.27				3	149.07			3	149.07				3	149.07				3	149.07				3	149.07				3	149.07	
21	78	53	11	30	86	23	Guerrero										21	1296	2500	361	2116	6889	3600	129.47				14	152.82			14	152.82				14	152.82				14	152.82				14	152.82				14	152.82	
